工具名称,工具作者,他山评分,实用性评分,可持续性评分,受欢迎度评分,可用工具数量,github_url
Android-Preference-Editor MCP 服务器,charlesmuchene,60.84,55.0,82,57.18,7,https://github.com/charlesmuchene/pref-editor-mcp-server
科学论文采集器 MCP 服务器,futurelab-studio,60.14,57.5,71,57.18,6,https://github.com/benedict2310/Scientific-Papers-MCP
MCP Advisor,istarwyh,60.14,62.5,56,57.18,2,https://github.com/istarwyh/mcpadvisor
Hyperliquid MCP 服务器,mektigboy,60.04,80.0,3,57.18,3,https://github.com/mektigboy/server-hyperliquid
RSS3的MCP服务器,RSS3-Network,60.04,80.0,3,57.18,43,https://github.com/RSS3-Network/mcp-server-rss3
Lightning Tools MCP 服务器,getAlby,59.34,77.5,7,57.18,3,https://github.com/getAlby/lightning-tools-mcp-server
Testplane MCP,gemini-testing,58.14,62.5,46,57.18,13,https://github.com/gemini-testing/testplane-mcp
Zeplin MCP 服务器：AI 辅助 UI 开发,zeplin,58.14,62.5,46,57.18,4,https://github.com/zeplin/mcp-server
Puppeteer,jwaldor,57.94,67.5,30,57.18,7,https://github.com/jwaldor/mcp-scrape-copilot
SignalK MCP 服务器,tonybentley,57.94,67.5,30,57.18,7,https://github.com/tonybentley/signalk-mcp-server
Armor Crypto MCP,Armor Wallet,57.94,62.5,30,72.2,37,https://github.com/armorwallet/armor-crypto-mcp
A11y MCP 服务器,priyankark,57.74,72.5,14,57.18,2,https://github.com/priyankark/a11y-mcp
思维策略 MCP 服务器,aaronsb,57.34,62.5,42,57.18,3,https://github.com/aaronsb/think-strategies
知识图谱内存服务器,yodakeisuke,57.04,75.0,3,57.18,9,https://github.com/yodakeisuke/mcp-memory-domain-knowledge
iOS 模拟器 MCP 服务器,joshuayoes,56.57,42.5,71,84.33,10,https://github.com/joshuayoes/ios-simulator-mcp
RAD Security MCP 服务器,rad-security,56.54,62.5,38,57.18,37,https://github.com/rad-security/mcp-server
Kibana MCP 服务器,TocharinOU,56.54,62.5,38,57.18,6,https://github.com/TocharianOU/mcp-server-kibana
YouTube 信息 MCP 服务器,Limecooler,56.54,67.5,23,57.18,1,https://github.com/Limecooler/yt-video-info
Excel MCP Server,zhiwei5576,56.54,62.5,38,57.18,8,https://github.com/zhiwei5576/excel-mcp-server
IEEE 2030.5 MCP 服务器,prandogabriel,56.44,63.33333333333333,35,57.18,1,https://github.com/prandogabriel/ieee2030.5-mcp
Pulumi MCP 服务器,pulumi,56.14,52.5,66,57.18,11,https://github.com/pulumi/mcp-server
KnBn MCP 服务器,mattbalmer,55.94,62.5,35,57.18,21,https://github.com/mattbalmer/knbn-mcp
Fetcher MCP,jae-jae,55.17,52.5,34,84.33,2,https://github.com/jae-jae/fetcher-mcp
Atlas Docs MCP 服务器,CartographAI,54.94,62.5,30,57.18,5,https://github.com/CartographAI/atlas-docs-mcp
ITerm MCP 服务器,rishabkoul,54.94,62.5,30,57.18,5,https://github.com/rishabkoul/iTerm-MCP-Server
Prompt Ops MCP,heyjustinai,54.94,67.5,15,57.18,1,https://github.com/heyjustinai/prompt-ops-mcp
Plex MCP 服务器,vyb1ng,54.54,42.5,88,57.18,22,https://github.com/vyb1ng/plex-mcp
Graphlit 平台的模型上下文协议（MCP）服务器,graphlit,53.94,42.5,70,72.2,71,https://github.com/graphlit/graphlit-mcp-server
dartpoint-mcp,dartpointai,53.74,52.5,54,57.18,22,https://github.com/dartpointai/dartpoint-mcp
@f4ww4z/mcp-mysql-server,f4ww4z,53.54,62.5,23,57.18,5,https://github.com/Atomzzm/mcp-mysql-server
HeyReach MCP 服务器,bcharleson,53.54,62.5,23,57.18,12,https://github.com/bcharleson/heyreach-mcp
Memory Custom,BRO3886,53.44,60.0,30,57.18,10,https://github.com/BRO3886/mcp-memory-custom
MCP网页研究服务器,mzxrai,53.44,55.0,30,72.2,3,https://github.com/mzxrai/mcp-webresearch
Allyson MCP 服务器,allyson,52.84,55.0,42,57.18,1,https://github.com/isaiahbjork/allyson-mcp
Authenticator App MCP 服务器,FirstOrder.AI,52.84,55.0,42,57.18,3,https://github.com/firstorderai/authenticator_mcp
MCP YouTube Transcript Server,sinco-lab,52.74,62.5,19,57.18,1,https://github.com/lnmunhoz/mcp-youtube-transcript
代码审查 MCP 工具,Orcus2021,52.24,50.0,54,57.18,7,https://github.com/Orcus2021/code-review-mcp-server
any-cli-mcp-server,eirikb,52.04,55.0,38,57.18,2,https://github.com/eirikb/any-cli-mcp-server
Audiense Insights MCP Server,AudienseCo,51.74,62.5,14,57.18,8,https://github.com/AudienseCo/mcp-audiense-insights
Roblox Studio MCP 服务器,boshyxd,51.74,42.5,74,57.18,24,https://github.com/boshyxd/robloxstudio-mcp
HotNews MCP 服务器,hanweiit007,51.44,55.0,35,57.18,1,https://github.com/hanweiit007/mcp-hotnews-server
Variflight MCP 服务器,variflight,51.34,57.5,27,57.18,8,https://github.com/variflight/variflight-mcp
Specifai MCP 服务器,presidio-oss,51.24,55.0,34,57.18,13,https://github.com/presidio-oss/specifai-mcp-server
CodingBaby-Browser-MCP,buyitsydney,51.14,57.5,26,57.18,14,https://github.com/buyitsydney/CodingBaby-Browser-MCP
Git Mob MCP 服务器,Mubashwer,50.94,42.5,70,57.18,10,https://github.com/Mubashwer/git-mob-mcp-server
加密货币价格与市场分析 MCP 服务器,truss44,50.74,52.5,39,57.18,3,https://github.com/truss44/mcp-crypto-price
MCP Miro 服务器,k-jarzyna,50.44,55.0,30,57.18,97,https://github.com/k-jarzyna/mcp-miro
G-Search MCP,jae-jae,50.34,52.5,22,72.2,1,https://github.com/jae-jae/g-search-mcp
MCP 漫威对决,AImaginationLab,50.34,57.5,22,57.18,14,https://github.com/AImaginationLab/marvel-rivals-mcp
Phaser Editor v5 的 MCP 服务器,phaserjs,50.14,37.5,81,57.18,58,https://github.com/phaserjs/editor-mcp-server
PostgreSQL MCP 服务器,daitasu,49.94,52.5,35,57.18,3,https://github.com/daitasu/postgres-mcp
Bruno MCP 服务器,hungthai1401,49.84,50.0,42,57.18,1,https://github.com/hungthai1401/bruno-mcp
股票新闻搜索 MCP 服务器,Cognitive-Stack,49.74,57.5,19,57.18,2,https://github.com/Cognitive-Stack/search-stock-news-mcp
拆包OpenAPI MCP服务器,auto-browse,49.64,55.0,26,57.18,2,https://github.com/auto-browse/unbundle_openapi_mcp
Ankr API MCP 服务器,akki91,49.54,62.5,3,57.18,1,https://github.com/akki91/ankr-mcp
tone MCP Server,tone-task,49.54,37.5,78,57.18,16,https://github.com/tone-task/mcp
monday.com MCP,mondaycom,49.14,42.5,46,72.2,22,https://github.com/mondaycom/mcp
mcp-server-flomo MCP 服务器,chatmcp,49.04,55.0,23,57.18,1,https://github.com/chatmcp/mcp-server-flomo
HireBase MCP 服务器,jhgaylor,49.04,55.0,23,57.18,2,https://github.com/jhgaylor/hirebase-mcp
ai-agent-playwright,SujitNepal1000,48.94,57.5,15,57.18,21,https://github.com/SujitNepal1000/ai-agent-playwright
GroundDocs,grounddocs,48.94,52.5,30,57.18,2,https://github.com/GroundDocs/grounddocs
Shopify MCP服务器,GeLi2001,48.94,52.5,30,57.18,8,https://github.com/GeLi2001/shopify-mcp
shannon-thinking,olaservo,48.84,55.0,22,57.18,1,https://github.com/olaservo/shannon-thinking
MCP TTS VOICEVOX,kajidog,48.54,42.5,58,57.18,6,https://github.com/kajidog/mcp-tts-voicevox
HexDocs MCP,Bradley Golden,48.54,42.5,58,57.18,2,https://github.com/bradleygolden/hexdocs-mcp
Docker Hub README MCP 服务器,elchika-inc,48.44,50.0,35,57.18,3,https://github.com/elchika-inc/docker-hub-readme-mcp-server
Swift Package README MCP 服务器,elchika-inc,48.44,50.0,35,57.18,3,https://github.com/elchika-inc/swift-package-readme-mcp-server
TaskWarrior MCP 服务器,awwaiid,48.14,52.5,26,57.18,3,https://github.com/awwaiid/mcp-server-taskwarrior
OneSearch MCP 服务器：网页搜索、爬取、抓取与内容提取,yokingma,48.14,52.5,26,57.18,4,https://github.com/yokingma/one-search-mcp
Runbook MCP 服务器,qloba,47.74,42.5,54,57.18,9,https://github.com/qloba/runbook-mcp-server
iterm-mcp,Ferris Lucas,47.54,42.5,38,72.2,3,https://github.com/ferrislucas/iterm-mcp
MCP 文档提供器,YassineTk,47.44,50.0,30,57.18,1,https://github.com/YassineTk/mcp-docs-provider
ADB MCP 服务器,srmorete,47.34,52.5,22,57.18,8,https://github.com/srmorete/adb-mcp
mcp-graphql,blurrah,46.94,42.5,35,72.2,2,https://github.com/blurrah/mcp-graphql
ASKME-CLI,rhyspenn,46.94,42.5,50,57.18,1,https://github.com/rhyspenn/askme-cli
Sonatype MCP 服务器,brianveltman,46.74,52.5,19,57.18,17,https://github.com/brianveltman/sonatype-mcp
